AMCId,AMCName,inDate
1,Sahara Mutual Fund,2020-07-14 00:00:00
2,Mahindra Manulife Mutual Fund,2020-07-14 00:00:00
3,Mirae Asset Mutual Fund,2020-07-14 00:00:00
4,Motilal Oswal Mutual Fund,2020-07-14 00:00:00
5,Nippon India Mutual Fund,2020-07-14 00:00:00
6,PGIM India Mutual Fund,2020-07-14 00:00:00
7,PPFAS Mutual Fund,2020-07-14 00:00:00
8,Principal Mutual Fund,2020-07-14 00:00:00
9,quant Mutual Fund,2020-07-14 00:00:00
10,SBI Mutual Fund,2020-07-14 00:00:00
11,Shriram Mutual Fund,2020-07-14 00:00:00
12,Sundaram Mutual Fund,2020-07-14 00:00:00
13,Tata Mutual Fund,2020-07-14 00:00:00
14,Union Mutual Fund,2020-07-14 00:00:00
15,UTI Mutual Fund,2020-07-14 00:00:00
16,Indiabulls Mutual Fund,2020-07-14 00:00:00
17,BOI AXA Mutual Fund,2020-07-14 00:00:00
18,Quantum Mutual Fund,2020-07-14 00:00:00
19,LIC Mutual Fund,2020-07-14 00:00:00
20,IIFL Mutual Fund,2020-07-14 00:00:00
21,L&T Mutual Fund,2020-07-14 00:00:00
22,JM Financial Mutual Fund,2020-07-14 00:00:00
23,Taurus Mutual Fund,2020-07-14 00:00:00
24,Aditya Birla Sun Life Mutual Fund,2020-07-14 00:00:00
25,Axis Mutual Fund,2020-07-14 00:00:00
26,Baroda Mutual Fund,2020-07-14 00:00:00
27,BNP Paribas Mutual Fund,2020-07-14 00:00:00
28,Canara Robeco Mutual Fund,2020-07-14 00:00:00
29,DSP Mutual Fund,2020-07-14 00:00:00
30,Edelweiss Mutual Fund,2020-07-14 00:00:00
31,Essel Mutual Fund,2020-07-14 00:00:00
32,Franklin Templeton Mutual Fund,2020-07-14 00:00:00
33,HDFC Mutual Fund,2020-07-14 00:00:00
34,HSBC Mutual Fund,2020-07-14 00:00:00
35,ICICI Prudential Mutual Fund,2020-07-14 00:00:00
36,IDBI Mutual Fund,2020-07-14 00:00:00
37,IDFC Mutual Fund,2020-07-14 00:00:00
38,Invesco Mutual Fund,2020-07-14 00:00:00
39,ITI Mutual Fund,2020-07-14 00:00:00
40,Kotak Mahindra Mutual Fund,2020-07-14 00:00:00
41,YES Mutual Fund,2020-07-14 00:00:00
