MutualFundId,MutualFundName,MutualFundCode,DowbloadEnabled,AMCId,inDate
1,Sahara Wealth Plus Fund-Fixed Pricing Option-Direct-Dividend Option,120341,0,1,2020-07-14 00:00:00
2,HDFC FMP 1145D MARCH 2018 (1) - REGULAR OPTION - DIVIDEND OPTION,143006,0,33,2020-07-14 00:00:00
3,HDFC FMP 1145D MARCH 2018 (1) - REGULAR OPTION - GROWTH OPTION,143003,0,33,2020-07-14 00:00:00
4,HDFC FMP 1145D MARCH 2018 (1) - REGULAR OPTION - QUARTERLY DIVIDEND OPTION,143004,0,33,2020-07-14 00:00:00
5,HDFC FMP 1146D April 2018 (1)-Direct option- Growth Option,143234,0,33,2020-07-14 00:00:00
6,HDFC FMP 1146D April 2018 (1)-Direct option- Quarterly Dividend Option,143235,0,33,2020-07-14 00:00:00
7,HDFC FMP 1146D April 2018 (1)-Direct option-Dividend Option,143233,0,33,2020-07-14 00:00:00
8,HDFC FMP 1146D April 2018 (1)-Regular option- Dividend Option,143236,0,33,2020-07-14 00:00:00
9,HDFC FMP 1146D April 2018 (1)-Regular option- Growth Option,143237,0,33,2020-07-14 00:00:00
10,HDFC FMP 1146D April 2018 (1)-Regular option- Quarterly Dividend Option,143238,0,33,2020-07-14 00:00:00
11,HDFC FMP 1146D February 2019(1)-Direct Plan-Dividend Option,146497,0,33,2020-07-14 00:00:00
12,HDFC FMP 1146D February 2019(1)-Direct Plan-Growth Option,146498,0,33,2020-07-14 00:00:00
13,HDFC FMP 1146D February 2019(1)-Direct Plan-Quarterly Div Option,146499,0,33,2020-07-14 00:00:00
14,HDFC FMP 1146D February 2019(1)-Dividend Option,146501,0,33,2020-07-14 00:00:00
15,HDFC FMP 1146D February 2019(1)-Growth Option,146502,0,33,2020-07-14 00:00:00
16,HDFC FMP 1146D February 2019(1)-Quarterly Dividend Option,146500,0,33,2020-07-14 00:00:00
17,HDFC FMP 1145D MARCH 2018 (1) - DIRECT OPTION - QUARTERLY DIVIDEND OPTION,143002,0,33,2020-07-14 00:00:00
